data,cotacao,log_retorno,conjunto
2019-12-27,4.0545,-0.0013802284497113,treino
2019-12-30,4.0307,-0.0058873172570361,treino
2019-12-31,4.0307,0.0,treino
2020-01-02,4.0213,-0.0023348247069716,treino
2020-01-03,4.0522,0.0076547100714465,treino
2020-01-06,4.0554,0.0007893828423124,treino
2020-01-07,4.0841,0.0070520594486576,treino
2020-01-08,4.0672,-0.004146583787886,treino
2020-01-09,4.0744,0.0017686945752599,treino
2020-01-10,4.0745,2.4543189879544514e-05,treino
2020-01-13,4.1309,0.0137472611297411,treino
2020-01-14,4.1443,0.0032385952513911,treino
2020-01-15,4.1622,0.0043098844779041,treino
2020-01-16,4.1726,0.0024955620764628,treino
2020-01-17,4.1837,0.0026566797574525,treino
2020-01-20,4.1829,-0.0001912365841412,treino
2020-01-21,4.2014,0.0044130171924949,treino
2020-01-22,4.1889,-0.0029796334453211,treino
2020-01-23,4.1662,-0.0054338202664443,treino
2020-01-24,4.1769,0.0025649952335349,treino
2020-01-27,4.2196,0.0101709922243042,treino
2020-01-28,4.2064,-0.0031331618320367,treino
2020-01-29,4.2013,-0.0012131737872453,treino
2020-01-30,4.2523,0.0120660118175033,treino
2020-01-31,4.2695,0.0040367113417858,treino
2020-02-03,4.2475,-0.0051661498015738,treino
2020-02-04,4.2381,-0.0022155189603585,treino
2020-02-05,4.2449,0.0016032067562152,treino
2020-02-06,4.2477,0.0006593976170912,treino
2020-02-07,4.3076,0.014003244495691,treino
2020-02-10,4.3195,0.0027587503442128,treino
2020-02-11,4.3148,-0.0010886812976647,treino
2020-02-12,4.3366,0.0050396574288433,treino
2020-02-13,4.3389,0.0005302288176785,treino
2020-02-14,4.3163,-0.005222305980947,treino
2020-02-17,4.3157,-0.0001390176091209,treino
2020-02-18,4.3471,0.0072494199372983,treino
2020-02-19,4.3728,0.0058945800787773,treino
2020-02-20,4.3873,0.0033104675157495,treino
2020-02-21,4.3924,0.0011617710340052,treino
2020-02-26,4.4359,0.0098547516612261,treino
2020-02-27,4.4764,0.0090886255590876,treino
2020-02-28,4.4987,0.0049693141892168,treino
2020-03-02,4.4946,-0.0009117899511967,treino
2020-03-03,4.4883,-0.0014026652935961,treino
2020-03-04,4.5258,0.0083203461993441,treino
2020-03-05,4.6207,0.0207518516623981,treino
2020-03-06,4.6459,0.005438901457154,treino
2020-03-09,4.7379,0.0196088893369259,treino
2020-03-10,4.6693,-0.0145848320498629,treino
2020-03-11,4.6738,0.0009632777874506,treino
2020-03-12,4.8833,0.0438487755335341,treino
2020-03-13,4.7362,-0.0305860944133189,treino
2020-03-16,4.9471,0.043566419892757,treino
2020-03-17,5.0496,0.0205074859168219,treino
2020-03-18,5.1107,0.0120273489058528,treino
2020-03-19,5.1444,0.0065723632745784,treino
2020-03-20,5.0248,-0.0235230922517606,treino
2020-03-23,5.0805,0.0110240297857651,treino
2020-03-24,5.0713,-0.0018124869517885,treino
2020-03-25,5.0706,-0.0001380411956559,treino
2020-03-26,5.001,-0.0138212613595878,treino
2020-03-27,5.1109,0.0217376215152347,treino
2020-03-30,5.1594,0.0094447797107672,treino
2020-03-31,5.1987,0.0075883006694035,treino
2020-04-01,5.2404,0.0079892369652063,treino
2020-04-02,5.2651,0.0047023074605154,treino
2020-04-03,5.2997,0.0065500764245429,treino
2020-04-06,5.2471,-0.009974672149849,treino
2020-04-07,5.2217,-0.0048525236590821,treino
2020-04-08,5.2123,-0.0018018022892629,treino
2020-04-09,5.0779,-0.0261234267880998,treino
2020-04-13,5.1824,0.0203704791387848,treino
2020-04-14,5.1858,0.0006558515695826,treino
2020-04-15,5.2579,0.0138075864840567,treino
2020-04-16,5.2377,-0.0038492368118661,treino
2020-04-17,5.2573,0.0037351163004823,treino
2020-04-20,5.2837,0.0050090229007986,treino
2020-04-22,5.3847,0.018934988872086,treino
2020-04-23,5.4467,0.0114483219459924,treino
2020-04-24,5.651,0.0368225999516456,treino
2020-04-27,5.6358,-0.0026934134013187,treino
2020-04-28,5.5683,-0.0120493063553621,treino
2020-04-29,5.4291,-0.0253164265388972,treino
2020-04-30,5.427,-0.0003868792708605,treino
2020-05-04,5.5816,0.028088978561622,treino
2020-05-05,5.5354,-0.0083116427041107,treino
2020-05-06,5.6676,0.0236019167691559,treino
2020-05-07,5.8365,0.0293655544026461,treino
2020-05-08,5.7653,-0.0122741115821785,treino
2020-05-11,5.7954,0.0052073089027657,treino
2020-05-12,5.7723,-0.0039938848182248,treino
2020-05-13,5.9022,0.0222545481516869,treino
2020-05-14,5.9372,0.0059124790038425,treino
2020-05-15,5.8229,-0.0194392223393311,treino
2020-05-18,5.7375,-0.0147748440424781,treino
2020-05-19,5.7216,-0.0027750888296602,treino
2020-05-20,5.6968,-0.0043438728712252,treino
2020-05-21,5.6019,-0.016798787774771,treino
2020-05-22,5.5808,-0.0037736906185381,treino
2020-05-25,5.4772,-0.0187381138165272,treino
2020-05-26,5.3707,-0.0196357676329839,treino
2020-05-27,5.2992,-0.0134023880742086,treino
2020-05-28,5.3405,0.0077634157788641,treino
2020-05-29,5.4263,0.0159382205083131,treino
2020-06-01,5.3639,-0.011566179614151,treino
2020-06-02,5.2601,-0.0195412844660269,treino
2020-06-03,5.0516,-0.0404450131858702,treino
2020-06-04,5.1041,0.0103391135371697,treino
2020-06-05,4.9775,-0.0251163813708332,treino
2020-06-08,4.9331,-0.0089601632701044,treino
2020-06-09,4.9057,-0.0055697993322452,treino
2020-06-10,4.8894,-0.0033281977817727,treino
2020-06-12,5.0373,0.0298006276793041,treino
2020-06-15,5.1883,0.0295358662826916,treino
2020-06-16,5.1285,-0.0115928717687592,treino
2020-06-17,5.2499,0.023395810037748,treino
2020-06-18,5.3468,0.0182892223121042,treino
2020-06-19,5.3466,-3.740625058901159e-05,treino
2020-06-22,5.2226,-0.0234654826816631,treino
2020-06-23,5.1705,-0.0100259665400361,treino
2020-06-24,5.2435,0.0140198186494302,treino
2020-06-25,5.3287,0.0161180916973688,treino
2020-06-26,5.4629,0.0248724782957068,treino
2020-06-29,5.4416,-0.0039066490146044,treino
2020-06-30,5.476,0.0063017721554083,treino
2020-07-01,5.3651,-0.0204598921882666,treino
2020-07-02,5.3028,-0.0116800322953782,treino
2020-07-03,5.3374,0.0065036600736785,treino
2020-07-06,5.3085,-0.0054293335447452,treino
2020-07-07,5.3318,0.0043795827641328,treino
2020-07-08,5.3482,0.0030711634626328,treino
2020-07-09,5.2978,-0.0094684156553066,treino
2020-07-10,5.344,0.0086827961913948,treino
2020-07-13,5.3486,0.0008604081858074,treino
2020-07-14,5.4288,0.0148832706276764,treino
2020-07-15,5.3491,-0.0147897925902733,treino
2020-07-16,5.356,0.0012891053713708,treino
2020-07-17,5.351,-0.0009339684997584,treino
2020-07-20,5.3635,0.0023332877261792,treino
2020-07-21,5.2283,-0.0255305696191496,treino
2020-07-22,5.1111,-0.0226715321987278,treino
2020-07-23,5.1647,0.0104323723945729,treino
2020-07-24,5.2146,0.0096153660572899,treino
2020-07-27,5.1889,-0.0049406550253694,treino
2020-07-28,5.1777,-0.0021607864406327,treino
2020-07-29,5.1395,-0.0074051437524904,treino
2020-07-30,5.1837,0.008563288534209,treino
2020-07-31,5.2033,0.0037739526837587,treino
2020-08-03,5.3075,0.0198278749064666,treino
2020-08-04,5.3329,0.0047742656754374,treino
2020-08-05,5.276,-0.0107269454156435,treino
2020-08-06,5.3431,0.0126377740225327,treino
2020-08-07,5.4227,0.0147878375175027,treino
2020-08-10,5.3933,-0.0054364039216825,treino
2020-08-11,5.4285,0.0065054102163486,treino
2020-08-12,5.4551,0.0048880982329218,treino
2020-08-13,5.3801,-0.0138439895611466,treino
2020-08-14,5.3852,0.0009474887613978,treino
2020-08-17,5.4497,0.0119061111655707,treino
2020-08-18,5.4659,0.002968231135995,treino
2020-08-19,5.4906,0.0045087467427418,treino
2020-08-20,5.651,0.028794981480456,treino
2020-08-21,5.6064,-0.0079237183278257,treino
2020-08-24,5.5954,-0.00196397070752,treino
2020-08-25,5.5997,0.0007681932651715,treino
2020-08-26,5.568,-0.0056771018454135,treino
2020-08-27,5.5956,0.00494465158802,treino
2020-08-28,5.4679,-0.0230859441480515,treino
2020-08-31,5.4713,0.0006216176885844,treino
2020-09-01,5.3732,-0.0180926139539503,treino
2020-09-02,5.3741,0.000167483926587,treino
2020-09-03,5.3079,-0.0123948413283783,treino
2020-09-04,5.2848,-0.0043615011505415,treino
2020-09-08,5.3698,0.0159558882249535,treino
2020-09-09,5.3024,-0.0126311156292351,treino
2020-09-10,5.2936,-0.0016610045343938,treino
2020-09-11,5.2854,-0.0015502413540446,treino
2020-09-14,5.2984,0.0024565858269645,treino
2020-09-15,5.2728,-0.0048433574322594,treino
2020-09-16,5.2532,-0.0037241160275052,treino
2020-09-17,5.2593,0.0011605233169331,treino
2020-09-18,5.2889,0.0056123466934834,treino
2020-09-21,5.444,0.0289038000499353,treino
2020-09-22,5.4329,-0.0020410234264069,treino
2020-09-23,5.5311,0.0179136493995051,treino
2020-09-24,5.5714,0.0072596580937376,treino
2020-09-25,5.5667,-0.0008439500954318,treino
2020-09-28,5.5858,0.0034252443261879,treino
2020-09-29,5.6528,0.0119233345359321,treino
2020-09-30,5.6407,-0.002142826339039,treino
2020-10-01,5.6441,0.0006025804804479,treino
2020-10-02,5.6464,0.0004074221747158,treino
2020-10-05,5.6299,-0.0029264939343582,treino
2020-10-06,5.5205,-0.0196232441074555,treino
2020-10-07,5.6018,0.0146195387683809,treino
2020-10-08,5.62,0.0032436892401639,treino
2020-10-09,5.5393,-0.0144635249203337,treino
2020-10-13,5.5859,0.008377426479877,treino
2020-10-14,5.5675,-0.0032994453157573,treino
2020-10-15,5.6172,0.0088871989625025,treino
2020-10-16,5.6226,0.0009608712638078,treino
2020-10-19,5.6023,-0.0036169626689037,treino
2020-10-20,5.583,-0.0034509613785689,treino
2020-10-21,5.6006,0.0031474685306371,treino
2020-10-22,5.582,-0.00332659974473,treino
2020-10-23,5.612,0.005360027126084,treino
2020-10-26,5.6328,0.0036994919825716,treino
2020-10-27,5.6491,0.0028895862118414,treino
2020-10-28,5.7325,0.0146554953152948,treino
2020-10-29,5.7803,0.0083038487016304,treino
2020-10-30,5.7718,-0.001471594174905,treino
2020-11-03,5.6895,-0.0143616194617217,treino
2020-11-04,5.6932,0.0006501093994069,treino
2020-11-05,5.5624,-0.0232428104116619,treino
2020-11-06,5.5313,-0.0056068005214025,treino
2020-11-09,5.2821,-0.0460991233628975,treino
2020-11-10,5.3696,0.0164296719323242,treino
2020-11-11,5.402,0.0060158375197285,treino
2020-11-12,5.4094,0.0013689256073416,treino
2020-11-13,5.4854,0.0139518362527053,treino
2020-11-16,5.4198,-0.0120311028287549,treino
2020-11-17,5.3968,-0.0042527290764673,treino
2020-11-18,5.2932,-0.0193832074084914,treino
2020-11-19,5.333,0.007490953701708,treino
2020-11-20,5.3505,0.0032760828664537,treino
2020-11-23,5.3828,0.0060186704003302,treino
2020-11-24,5.4037,0.0038752192379671,treino
2020-11-25,5.3508,-0.0098378216839223,treino
2020-11-26,5.3201,-0.005753982269921,treino
2020-11-27,5.3494,0.0054923049166029,treino
2020-11-30,5.3317,-0.0033142684184122,treino
2020-12-01,5.2789,-0.0099523939871304,treino
2020-12-02,5.2267,-0.0099376388955971,treino
2020-12-03,5.1625,-0.012359145497685,treino
2020-12-04,5.1706,0.0015677776580311,treino
2020-12-07,5.1018,-0.0133953173075174,treino
2020-12-08,5.092,-0.0019227379425048,treino
2020-12-09,5.1109,0.0037048332568414,treino
2020-12-10,5.0852,-0.0050411538581709,treino
2020-12-11,5.0691,-0.0031710730412537,treino
2020-12-14,5.0578,-0.002231680907262,treino
2020-12-15,5.0968,0.0076812856748267,treino
2020-12-16,5.1057,0.0017446708664623,treino
2020-12-17,5.0612,-0.0087539533536322,treino
2020-12-18,5.0986,0.0073623829086741,treino
2020-12-21,5.1572,0.0114278043128996,treino
2020-12-22,5.1473,-0.001921491202097,treino
2020-12-23,5.174,0.0051737784113889,treino
2020-12-24,5.18,0.0011589725075542,treino
2020-12-28,5.239,0.011325584154691,treino
2020-12-29,5.1942,-0.0085880219584366,treino
2020-12-30,5.1967,0.0004811902815422,treino
2020-12-31,5.1967,0.0,treino
2021-01-04,5.1626,-0.0065834801895936,treino
2021-01-05,5.3269,0.0313291269069688,treino
2021-01-06,5.3182,-0.0016345552295484,treino
