data,cotacao,log_retorno
2023-01-19,5.2144,0.02396939688026145
2023-01-20,5.1986,-0.0030346705321191436
2023-01-23,5.1922,-0.0012318591079265584
2023-01-24,5.1696,-0.004362183373017636
2023-01-25,5.1042,-0.012731585860340289
2023-01-26,5.0951,-0.00178443666029926
2023-01-27,5.0767,-0.0036178493618712615
2023-01-30,5.0959,0.00377485063782923
2023-01-31,5.0993,0.0006669805645880267
2023-02-01,5.0721,-0.0053483423791098605
2023-02-02,4.9901,-0.01629898338610558
2023-02-03,5.103,0.022372652439046625
2023-02-06,5.1763,0.014261913251688574
2023-02-07,5.1695,-0.0013145432889123398
2023-02-08,5.2036,0.006574721700656205
2023-02-09,5.2315,0.005347350093698022
2023-02-10,5.2526,0.004025148269892531
2023-02-13,5.1834,-0.013261980498101122
2023-02-14,5.1507,-0.006328583841617386
2023-02-15,5.2243,0.014188189814914764
2023-02-16,5.2432,0.0036111813783594737
2023-02-17,5.2012,-0.008042630767385317
2023-02-22,5.173,-0.005436577173649759
2023-02-23,5.133,-0.007762507443211941
2023-02-24,5.1791,0.008941012424039219
2023-02-27,5.196,0.003257802806147625
2023-02-28,5.2078,0.0022684029027644215
2023-03-01,5.207,-0.0001536275303555268
2023-03-02,5.208,0.00019203072550633138
2023-03-03,5.2037,-0.0008259938808223843
2023-03-06,5.197,-0.0012883749991410287
2023-03-07,5.1901,-0.0013285712113935144
2023-03-08,5.1387,-0.009952835624999379
2023-03-09,5.1353,-0.0006618649258551823
2023-03-10,5.1822,0.009091412268101173
2023-03-13,5.24,0.011091821800792934
2023-03-14,5.2362,-0.0007254539177672381
2023-03-15,5.2981,0.01175222130375042
2023-03-16,5.2892,-0.0016812600184032966
2023-03-17,5.2679,-0.004035204535733472
2023-03-20,5.2467,-0.004032493623679079
2023-03-21,5.2444,-0.0004384668980084161
2023-03-22,5.2648,0.003882317516662681
2023-03-23,5.2632,-0.0003039513701212915
2023-03-24,5.2921,0.0054759357319902335
2023-03-27,5.2306,-0.01168914827161549
2023-03-28,5.1733,-0.011015211482790166
2023-03-29,5.1493,-0.004649999659964932
2023-03-30,5.1254,-0.004652212347958651
2023-03-31,5.0804,-0.008818572111284784
2023-04-03,5.0637,-0.003292557267172702
